station_id,year,EMEP_Standard_DEP_SOX_mgpm2,EMEP_Standard_DEP_TOTN_mgpm2
38207,2005,774.2889,1712.4048
38208,2005,1473.5315,2113.0327
38209,2005,348.69672,649.0325
38210,2005,130.45178,220.43185
38211,2005,129.2506,216.65071
38212,2005,372.95267,790.1256
38213,2005,213.6728,379.43777
38214,2005,278.7578,554.84094
38242,2005,183.72057,475.11172
38312,2005,441.71973,1077.6732
38314,2005,260.1554,632.54956
38315,2005,111.42455,195.09552
38316,2005,482.18924,137.52669
38319,2005,797.7749,848.0055
38352,2005,412.76706,1233.4135
38364,2005,445.10687,1372.0066
38391,2005,144.16193,371.19495
38394,2005,272.8706,788.06396
38402,2005,104.87888,264.394
38418,2005,706.44684,1190.5144
38422,2005,450.573,909.90137
38428,2005,476.2929,1137.8718
38432,2005,290.96957,379.0235
38434,2005,372.53473,649.2691
38437,2005,426.09482,949.22
23505,2006,557.3782,1807.0227
23506,2006,561.99744,1958.8187
23507,2006,668.0546,1869.4937
23509,2006,442.24646,1616.6333
23510,2006,519.85876,1761.1683
23511,2006,690.35913,1940.5453
23512,2006,432.4563,1413.56
23514,2006,432.4563,1413.56
23522,2006,494.29364,1714.7053
23525,2006,751.8152,1802.8527
23527,2006,432.4563,1413.56
23528,2006,680.6553,1774.8776
23530,2006,613.0177,1957.041
23531,2006,432.4563,1413.56
23532,2006,544.82776,1787.7941
23533,2006,544.82776,1787.7941
23534,2006,897.5868,1670.4874
23536,2006,731.2661,2035.5718
23537,2006,494.29364,1714.7053
23562,2006,245.26918,1041.3226
23563,2006,478.1634,2087.5435
23564,2006,245.26918,1041.3226
23565,2006,548.1629,2554.0127
23566,2006,523.17645,2297.906
23567,2006,566.88306,2590.4153
23597,2006,237.0719,515.44824
23598,2006,350.18484,911.8697
23603,2006,331.79886,1049.4962
38201,2006,537.5978,1798.461
38202,2006,500.5628,1642.6869
38203,2006,440.61896,1536.1077
38204,2006,439.85333,1389.1265
38205,2006,473.30432,1497.427
38206,2006,414.96805,1312.8536
38207,2006,680.8933,1601.3889
38208,2006,1227.4626,1942.016
38209,2006,296.84058,584.4699
38210,2006,107.39187,178.02397
38211,2006,110.28459,180.89717
38212,2006,397.9995,888.7493
38213,2006,174.3009,325.9063
38214,2006,277.36792,555.7377
38242,2006,192.77594,502.83466
38312,2006,432.95218,1105.5013
38314,2006,253.54633,633.377
38315,2006,92.2164,198.37003
38316,2006,427.39554,130.24945
38319,2006,744.9913,800.17236
38352,2006,413.70444,1176.5599
38364,2006,443.73413,1336.7147
38391,2006,154.6503,393.28088
38394,2006,321.44232,940.9609
38402,2006,114.71179,271.76413
38418,2006,801.40735,1399.2617
38422,2006,477.3008,1047.7251
38428,2006,458.7567,1118.0419
38432,2006,293.32886,454.63974
38434,2006,497.3251,910.02106
38437,2006,469.40845,1077.0065
23505,2007,610.7197,1960.0149
23506,2007,632.9614,1954.7302
23507,2007,692.5847,1875.6929
23509,2007,447.7887,1577.3789
23510,2007,560.1723,1702.4976
23511,2007,701.884,1886.5201
23512,2007,444.1729,1449.2421
23514,2007,444.1729,1449.2421
23522,2007,565.9885,1696.6582
23525,2007,751.4737,1773.7009
23527,2007,444.1729,1449.2421
23528,2007,676.1638,1691.0864
23530,2007,619.44,1820.2861
23531,2007,444.1729,1449.2421
23532,2007,563.4065,1748.133
23533,2007,563.4065,1748.133
23534,2007,838.4408,1513.9962
23536,2007,770.8279,2052.04
23537,2007,565.9885,1696.6582
23562,2007,252.31438,1008.9182
23563,2007,486.44257,2092.321
23564,2007,252.31438,1008.9182
23565,2007,617.608,2536.2551
23566,2007,526.5418,2270.8188
23567,2007,542.9752,2481.125
23597,2007,142.60355,372.0903
23598,2007,242.84961,760.59924
23603,2007,268.5976,935.4972
38201,2007,594.61395,1882.2009
38202,2007,531.912,1685.3193
38203,2007,444.61835,1547.8667
38204,2007,449.1337,1411.3324
38205,2007,481.7172,1504.5131
38206,2007,420.46594,1327.3934
38207,2007,650.5718,1534.8242
38208,2007,1360.3701,2045.5381
38209,2007,345.6321,663.5162
38210,2007,106.64084,174.86957
38211,2007,103.4205,171.48363
38212,2007,352.88782,812.17944
38213,2007,202.59572,352.84024
38214,2007,243.47008,500.5705
38242,2007,101.08237,329.5573
38312,2007,276.22946,722.46954
38314,2007,160.11859,431.36078
38315,2007,79.06367,155.92422
38316,2007,425.12836,109.47993
38319,2007,810.9751,948.3836
38352,2007,330.70892,974.7832
38364,2007,350.2608,1093.401
38391,2007,96.68366,293.18195
38394,2007,244.58832,812.7498
38402,2007,65.63273,194.82516
38418,2007,578.95105,1060.8567
38422,2007,374.97177,884.8288
38428,2007,389.71448,950.03345
38432,2007,258.68436,349.34018
38434,2007,295.2674,569.1787
38437,2007,326.4551,800.895
23505,2008,448.8629,1583.9124
23506,2008,503.943,1772.2887
23507,2008,535.12244,1614.6396
23509,2008,301.03342,1307.8658
23510,2008,436.5225,1544.3818
23511,2008,544.44653,1727.7046
23512,2008,326.38144,1257.3717
23514,2008,326.38144,1257.3717
23522,2008,459.20587,1583.5468
23525,2008,612.77826,1661.4458
23527,2008,326.38144,1257.3717
23528,2008,534.87225,1575.686
23530,2008,503.13416,1651.9484
23531,2008,326.38144,1257.3717
23532,2008,473.46063,1693.4165
23533,2008,473.46063,1693.4165
23534,2008,714.2002,1498.0576
23536,2008,593.20703,1748.6135
