station_id,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2
38476,1276.6182,1127.0214,1043.9519,1063.493,1132.3759,958.5368,1061.6364,1043.1978,1126.777,1131.6229,1136.469,1043.721,1111.8,997.2446,797.0888,732.6562,690.5701,777.0205,691.79504,616.1435,479.3075,769.7705,722.2669,760.6866,722.2719,652.4098,695.4099
38477,1248.0093,1089.5021,1021.0496,1044.2446,1110.896,933.7023,1039.6415,1027.7734,1114.7354,1125.6022,1136.469,1043.721,1111.8,997.2446,797.0888,732.6562,690.5701,777.0205,691.79504,616.1435,479.3075,769.7705,722.2669,760.6866,722.2719,652.4098,695.4099
38478,1062.17,916.05084,724.01624,915.506,908.529,796.1296,914.83575,859.84125,1013.226,1155.7395,1298.2529,1303.902,1270.7361,975.0436,921.5697,781.79614,713.4384,836.12634,750.4917,624.8794,568.3282,781.1785,694.7957,727.4115,690.4344,709.1292,656.79047
38479,1276.1138,1125.8389,1033.8396,1076.1478,1132.3677,942.24866,1056.7633,1034.7628,1138.125,1126.006,1113.887,1036.209,1080.76,973.27,776.441,715.5407,671.1751,753.6897,676.5293,609.81213,473.329,751.2671,692.92065,727.4227,697.979,640.41235,673.96313
38480,1254.417,1096.2788,1028.668,1047.866,1114.261,938.2492,1045.0001,1033.4875,1119.5516,1128.0104,1136.469,1043.721,1111.8,997.2446,797.0888,732.6562,690.5701,777.0205,691.79504,616.1435,479.3075,769.7705,722.2669,760.6866,722.2719,652.4098,695.4099
38481,1276.6182,1127.0214,1043.9519,1063.493,1132.3759,958.5368,1061.6364,1043.1978,1126.777,1131.6229,1136.469,1043.721,1111.8,997.2446,797.0888,732.6562,690.5701,777.0205,691.79504,616.1435,479.3075,769.7705,722.2669,760.6866,722.2719,652.4098,695.4099
38482,1064.42,878.2988,788.16144,938.1563,1014.2066,884.365,859.197,854.25366,931.4189,905.0518,878.6848,839.3652,962.5224,808.5003,685.9429,606.661,578.3566,678.022,632.8004,502.45837,463.72418,642.6728,568.2022,624.5872,605.3944,597.377,624.455
38483,1276.6182,1127.0214,1043.9519,1063.493,1132.3759,958.5368,1061.6364,1043.1978,1126.777,1131.6229,1136.469,1043.721,1111.8,997.2446,797.0888,732.6562,690.5701,777.0205,691.79504,616.1435,479.3075,769.7705,722.2669,760.6866,722.2719,652.4098,695.4099
38484,1314.2279,1130.5143,1058.5879,1075.0446,1158.0382,986.6994,1115.7722,1043.6381,1126.571,1167.688,1208.8049,1141.747,1187.603,1054.525,834.0698,758.0711,718.2544,793.2922,711.94403,642.21265,501.2557,790.47144,720.4814,752.3134,719.84326,656.457,723.8726
38485,1335.3313,1190.368,1096.1216,1102.0511,1177.8918,1007.301,1102.1997,1069.1063,1124.5669,1194.4485,1264.33,1177.625,1219.5441,1087.488,862.60736,785.4958,740.7713,819.6794,734.3744,648.9498,505.4235,804.48285,749.2757,786.9243,750.2271,694.6019,736.2367
