station_id,period,ANC_µeq/l,CaMg_µeq/l,Ca_µeq/l,Cl_µeq/l,HCO3_µeq/l,H_µeq/l,K_µeq/l,Mg_µeq/l,NH4-N_µeq/l,NO3-N_µeq/l,Na_µeq/l,OrgAnions_µeq/l,SAA_µeq/l,SO4_µeq/l,TOC_mg C/l,station_code,station_name,country
146,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1037-17,Heievatn,Norway
147,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1569-601,Skardvatnet,Norway
147,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1569-601,Skardvatnet,Norway
147,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1569-601,Skardvatnet,Norway
147,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1569-601,Skardvatnet,Norway
148,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1119-602,Homsevatn,Norway
148,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1119-602,Homsevatn,Norway
148,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1119-602,Homsevatn,Norway
148,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1119-602,Homsevatn,Norway
149,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2030-624,Ulekristasjavri,Norway
149,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2030-624,Ulekristasjavri,Norway
149,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2030-624,Ulekristasjavri,Norway
149,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2030-624,Ulekristasjavri,Norway
150,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1111-3,Ljosvatnet,Norway
150,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1111-3,Ljosvatnet,Norway
150,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1111-3,Ljosvatnet,Norway
150,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1111-3,Ljosvatnet,Norway
151,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2030-614,Langvatnet,Norway
151,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2030-614,Langvatnet,Norway
151,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2030-614,Langvatnet,Norway
151,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2030-614,Langvatnet,Norway
152,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1211-601,Vaulavatn,Norway
152,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1211-601,Vaulavatn,Norway
152,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1211-601,Vaulavatn,Norway
152,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1211-601,Vaulavatn,Norway
155,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,512-601,Svartdalsvatnet,Norway
155,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,512-601,Svartdalsvatnet,Norway
155,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,512-601,Svartdalsvatnet,Norway
155,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,512-601,Svartdalsvatnet,Norway
156,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,940-527,Skammevatn,Norway
