period,region,variable,n_vals,mean,median,std_dev,iqr,mk_p_val,mk_trend,sen_slp
1990-2004,ECE,TOC_mg C/l,301,2.5366895440829316,1.18,3.1189543713594863,3.2800000000000002,9.608061897048437e-05,increasing,0.016588100228744136
1990-2004,AdsCsk,SO4_µeq/l,732,90.47928154129902,93.1357963275648,23.828848382010285,27.277215414379924,0.0,decreasing,-2.084240433569022
1990-2004,AdsCsk,NO3-N_µeq/l,732,11.35896174863388,10.78125,9.131122314978212,14.39375,0.03381235021931861,decreasing,-0.04499999999999996
1990-2004,AdsCsk,Cl_µeq/l,732,9.306797783265429,8.459284122641241,3.928795207175458,2.8385097876061263,0.005862051116999778,decreasing,-0.019998307618536895
1990-2004,AdsCsk,Ca_µeq/l,732,86.11749371816478,78.25653068862277,43.06519411973424,54.093229166666646,0.0,decreasing,-0.9653922066581131
1990-2004,AdsCsk,Mg_µeq/l,732,30.10868342692538,27.456441263573538,15.011020726347041,18.403411895360318,0.0,decreasing,-0.20489881539980245
1990-2004,AdsCsk,CaMg_µeq/l,732,116.25949688018906,106.02143931534758,55.24845285910419,70.42802990083507,0.0,decreasing,-1.2076826603456512
1990-2004,AdsCsk,H_µeq/l,732,7.150454898596413,2.681310662442793,10.361126378018042,8.696850324897266,4.0024272784933146e-10,decreasing,-0.01671738913962841
1990-2004,AdsCsk,SAA_µeq/l,732,112.09718162115958,116.91758288269168,31.023746437431534,34.50808283352282,0.0,decreasing,-2.165289171275388
1990-2004,AdsCsk,ANC_µeq/l,732,34.3602854661588,18.232875825219864,52.89969269052163,68.55157001749402,0.0,increasing,1.311869523166353
1990-2004,AdsCsk,OrgAnions_µeq/l,732,52.71212084679882,47.36562318985595,27.619883716178,32.46305357770041,2.014655109405794e-11,increasing,0.39401641512785496
1990-2004,AdsCsk,HCO3_µeq/l,732,11.681890025725597,0.0,28.06755676533358,6.858288858689146,3.495994907742883e-05,increasing,0.0
1990-2004,AdsCsk,TOC_mg C/l,732,4.85380806010929,4.1025,2.9404372159436107,2.8324999999999996,0.00016262376511000376,increasing,0.02154761904761899
1990-2004,Apps,SO4_µeq/l,75,170.24535877672938,181.70643108172257,41.8843332518163,32.601153842950794,0.011636766347590477,decreasing,-0.8750309697110978
1990-2004,Apps,NO3-N_µeq/l,75,16.285333333333334,9.100000000000001,16.72912328144442,20.250000000000004,6.443396927124923e-10,decreasing,-0.4750000000000014
1990-2004,Apps,Cl_µeq/l,75,41.28850590923194,32.79722449440104,21.12338798621468,16.173631286491975,0.41275221241324456,no trend,-0.06428027448815397
1990-2004,Apps,Ca_µeq/l,75,112.1445991350632,98.34905189620758,50.477521930665525,88.29403692614774,1.7589521144056874e-05,decreasing,-2.9514720558882233
1990-2004,Apps,Mg_µeq/l,74,66.5927903471092,66.19231243830208,14.90921880803916,20.377437068114503,3.062213183024909e-07,decreasing,-0.8632100870501657
1990-2004,Apps,CaMg_µeq/l,74,178.45376691289388,165.66881162403723,61.02945080140916,99.80508544239261,5.248810815539073e-06,decreasing,-3.7868589080476753
1990-2004,Apps,H_µeq/l,75,2.920346835958643,1.1220184543019631,3.1967413412232353,3.820292935884319,0.9823302076087497,no trend,0.0
1990-2004,Apps,SAA_µeq/l,75,228.3268680702888,222.7049971190225,38.618312838401,63.150422315352216,2.6113601574007106e-05,decreasing,-1.7856333189563105
1990-2004,Apps,ANC_µeq/l,74,-4.77509606206373,-3.8242390524621017,36.844985366317964,50.36695042252863,0.024149212968610057,decreasing,-1.9501214667462687
1990-2004,Apps,OrgAnions_µeq/l,75,16.67425925776144,16.224566984700385,4.701697717934232,6.069466478293975,0.0030209441580912877,decreasing,-0.3254244390662863
1990-2004,Apps,HCO3_µeq/l,74,7.119842846084918,0.0,15.104098367803056,5.944405604861209,0.2779973668046849,no trend,0.0
1990-2004,Apps,TOC_mg C/l,75,1.4866666666666668,1.4,0.45569469785993527,0.55,0.0018992704287026374,decreasing,-0.026923076923076914
1990-2004,Ont,SO4_µeq/l,220,104.71273357171575,108.05566428208567,25.980442706533044,22.735411444323233,0.0,decreasing,-1.8737976465101553
1990-2004,Ont,NO3-N_µeq/l,223,7.532702434336964,4.8775,8.628085136244655,8.113142857142856,0.39747272082093765,no trend,0.0
1990-2004,Ont,Cl_µeq/l,223,21.20276968724714,9.702987053281808,29.998951228655063,3.2437311369982798,0.7054172319532621,no trend,0.0
1990-2004,Ont,Ca_µeq/l,223,134.96795646375412,123.85229540918164,49.90183671899624,60.27944111776446,0.0,decreasing,-1.3473053892215552
1990-2004,Ont,Mg_µeq/l,223,48.06683517855325,42.61270154656137,14.429691505315539,20.89503126028299,0.0,decreasing,-0.4543210984474582
1990-2004,Ont,CaMg_µeq/l,223,182.88956882758595,178.01558777804706,52.03820356559557,75.20056136493051,0.0,decreasing,-1.8005942704916116
1990-2004,Ont,H_µeq/l,223,0.8050043804213396,0.3863669770540689,0.8433408709859878,1.131372861850267,0.00015862648303421878,decreasing,-0.004451041058478838
1990-2004,Ont,SAA_µeq/l,223,134.91180418135016,133.02898219680768,45.06486491340951,29.991005896655537,0.0,decreasing,-1.7175276399050272
1990-2004,Ont,ANC_µeq/l,223,95.99621555440528,89.7083551479875,60.17891093203986,89.84081498508607,0.02369699233417233,increasing,0.2727725055563971
1990-2004,Ont,OrgAnions_µeq/l,223,50.8671544384117,50.14847206632414,18.014654159323598,14.423182328808544,1.3783196806116393e-11,increasing,0.38508895955667877
1990-2004,Ont,HCO3_µeq/l,223,48.648644220051715,45.22147859691319,48.11589390991165,79.78799457842625,0.6815188972977637,no trend,0.0
1990-2004,Ont,TOC_mg C/l,224,3.917821428571428,3.7705,1.2714085967882978,1.3547499999999997,8.694895914374001e-10,increasing,0.027000000000000024
1990-2004,QuMaVt,SO4_µeq/l,723,75.41278499779723,70.78791109038367,24.77643497205949,36.112140543151476,0.0,decreasing,-1.5036647780637051
1990-2004,QuMaVt,NO3-N_µeq/l,724,2.083890094711918,2.357142857142857,1.429335369957059,1.3035714285714286,0.8359825671812682,no trend,0.0
1990-2004,QuMaVt,Cl_µeq/l,719,22.355091484908595,9.872225199559981,26.822502145297584,9.87222519955998,0.0017304386230130309,increasing,0.0
1990-2004,QuMaVt,Ca_µeq/l,724,92.70809379169837,79.97754491017965,59.94542974085763,45.40918163672654,0.0,decreasing,-0.959619223092277
1990-2004,QuMaVt,Mg_µeq/l,724,35.74547028705103,32.74103323461665,18.762177274065053,15.763820335636723,0.0,decreasing,-0.2989432827784268
1990-2004,QuMaVt,CaMg_µeq/l,724,128.4704216592721,114.37512438105034,77.1925491406451,64.756167576003,0.0,decreasing,-1.2891705893904846
1990-2004,QuMaVt,H_µeq/l,724,2.21452179569455,0.5650289246959499,5.331027847047972,1.1604866004394074,0.0,decreasing,-0.014992250741308333
1990-2004,QuMaVt,SAA_µeq/l,724,99.87000102458072,94.46826476464858,30.58244456925826,44.400219803090096,0.0,decreasing,-1.4999448399008344
1990-2004,QuMaVt,ANC_µeq/l,724,77.83208076844551,59.062046021721656,76.55464581265778,73.70165364753808,7.920504252467708e-09,increasing,0.5875146468564623
1990-2004,QuMaVt,OrgAnions_µeq/l,719,54.954491778516775,52.68999782598836,22.297321504199942,25.10299965167473,1.7786203621028562e-09,increasing,0.2257059441304694
1990-2004,QuMaVt,HCO3_µeq/l,719,35.082858066235666,8.044385489729347,63.524853144512974,38.13198686634328,0.005516651618970192,increasing,0.0
1990-2004,QuMaVt,TOC_mg C/l,719,4.459297635605006,4.25,1.7720414239587057,2.0999999999999996,0.006934240150076043,increasing,0.009392857142857187
1990-2004,AtlCan,SO4_µeq/l,924,46.554543085935435,44.34654430074036,20.48528569930617,22.90197123512413,0.0,decreasing,-0.6713915809745993
1990-2004,AtlCan,NO3-N_µeq/l,924,1.5323902288187998,1.4285714285714286,0.42448914043298175,0.0,0.20163232051499236,no trend,0.0
1990-2004,AtlCan,Cl_µeq/l,924,139.30918600481118,111.41511296646263,78.44339604470703,54.01517502044962,0.0,increasing,1.3045440442275709
1990-2004,AtlCan,Ca_µeq/l,919,41.56898390379198,37.17564870259481,22.932049679670897,34.93013972055888,1.5376893824914362e-07,increasing,0.14970059880239503
1990-2004,AtlCan,Mg_µeq/l,923,40.687788614390676,33.31688055281343,20.98801525268963,17.85126686410004,0.0009970166769952549,increasing,0.10282987824942413
1990-2004,AtlCan,CaMg_µeq/l,921,82.44691690455096,73.02103591435096,40.56175609208573,57.94334332322521,9.158173315260143e-07,increasing,0.2877594596920024
1990-2004,AtlCan,H_µeq/l,924,7.88208900251119,3.3902383961040226,10.496418903100858,10.541561773730752,0.7771913108365722,no trend,0.0
1990-2004,AtlCan,SAA_µeq/l,924,187.56609449448786,157.7902856445888,93.92985134370312,67.68714997915731,4.495707788931824e-06,increasing,0.6427110792367567
1990-2004,AtlCan,ANC_µeq/l,923,44.549903276538956,38.12097874935827,32.28733360909171,39.036332976218205,9.769962616701378e-15,increasing,0.623886873847566
1990-2004,AtlCan,OrgAnions_µeq/l,920,72.22125113266122,65.43108522568606,39.03133786577142,50.36048468781423,0.00024667636881425814,decreasing,-0.3489928804857006
1990-2004,AtlCan,HCO3_µeq/l,920,4.6868364667471845,0.0,11.63534073901161,2.8614427337629786,0.0,increasing,0.0
1990-2004,AtlCan,TOC_mg C/l,920,6.923691304347827,6.05,4.2366102861078945,5.2525,0.0006474811975729633,decreasing,-0.02742857142857139
1990-2004,UK-IE-NL,SO4_µeq/l,343,98.14140525872855,69.74691239787802,90.85643115411943,33.832457506433386,0.0,decreasing,-2.0819973850112845
1990-2004,UK-IE-NL,NO3-N_µeq/l,340,13.1480981761152,9.285714285714286,10.914979427973487,12.080357142857142,0.5191566199865729,no trend,-8.881784197001252e-16
1990-2004,UK-IE-NL,Cl_µeq/l,343,237.39820321389652,225.65086170422813,96.6918987556065,107.88931825233408,0.0,decreasing,-3.7608476950704812
1990-2004,UK-IE-NL,Ca_µeq/l,343,67.84515256240545,53.39321357285429,42.66367657241769,47.61868762475051,1.1102230246251565e-15,decreasing,-0.7485029940119758
1990-2004,UK-IE-NL,Mg_µeq/l,342,66.58224727665362,55.939453767686736,33.07549181722534,25.501809805857185,6.8833827526759706e-15,decreasing,-0.6169792694965466
1990-2004,UK-IE-NL,CaMg_µeq/l,343,134.92083626046843,109.59571478957187,73.83550488907113,61.95867345065703,0.0,decreasing,-1.4733612735043213
1990-2004,UK-IE-NL,H_µeq/l,341,7.676273122482183,3.6317430916537403,9.62446646554184,8.811010839063753,0.0,decreasing,-0.1564272193988936
1990-2004,UK-IE-NL,SAA_µeq/l,340,358.46387425611135,325.06350792756155,169.24282989926363,151.6969502861465,0.0,decreasing,-6.724881248955045
1990-2004,UK-IE-NL,ANC_µeq/l,340,14.85020327963087,9.368354004171838,48.79205453019195,44.47358571645795,8.035794252236883e-13,increasing,1.482251538471005
1990-2004,UK-IE-NL,OrgAnions_µeq/l,341,51.08109634432892,36.04383830510997,42.34009280130063,36.36151244148921,0.0,increasing,1.346255098707438
1990-2004,UK-IE-NL,HCO3_µeq/l,339,4.538588508242203,0.0,20.372681812055944,0.0,0.712250977000473,no trend,0.0
1990-2004,UK-IE-NL,TOC_mg C/l,342,4.7041300416910135,3.5002039966694403,3.9007587089292115,3.34508014154871,0.0,increasing,0.10679372408409696
1998-2012,SoNord,SO4_µeq/l,2316,69.10597004227986,58.191826911065405,49.93578726739988,57.05713833623424,0.0,decreasing,-1.943197559343866
1998-2012,SoNord,NO3-N_µeq/l,2316,4.290012028127313,3.107142857142857,4.442893413826027,4.142857142857142,0.0,decreasing,-0.051948051948051945
1998-2012,SoNord,Cl_µeq/l,2314,104.77167405659424,78.97780159647984,91.7202717740913,115.64606662341691,1.672367200278302e-08,decreasing,-0.1410317885651451
1998-2012,SoNord,Ca_µeq/l,2312,97.09528894201217,72.9253243512974,101.39910123751434,104.84787924151698,0.0,decreasing,-0.49900199600798445
1998-2012,SoNord,Mg_µeq/l,2315,52.993360467983884,47.48632362619283,36.94071903288135,49.35834155972359,0.0,decreasing,-0.22215823918686695
1998-2012,SoNord,CaMg_µeq/l,2313,150.1394909412823,123.72244651861136,132.7584026083815,151.37290084194888,0.0,decreasing,-0.7499625748503007
1998-2012,SoNord,H_µeq/l,2315,3.992473277134801,1.479108388168207,5.7026075527616475,5.048765885472532,0.0,decreasing,-0.016577796513382384
1998-2012,SoNord,SAA_µeq/l,2315,178.17215027830423,150.14727454645174,125.36059594967433,153.87379153705913,0.0,decreasing,-2.1757347626561767
1998-2012,SoNord,ANC_µeq/l,2314,99.66027063951272,73.56303670172002,124.52104075550557,133.711869465846,0.0,increasing,1.3959295957444595
1998-2012,SoNord,OrgAnions_µeq/l,2302,94.44898261232368,90.53395814189287,64.40249140347872,87.92193821918468,0.0,increasing,1.109696844687169
1998-2012,SoNord,HCO3_µeq/l,2302,30.536484671221398,0.0,89.21938109775954,29.286519237601333,0.12508261203066473,no trend,0.0
1998-2012,SoNord,TOC_mg C/l,2302,8.086618158123372,7.5,5.730288934823307,7.299999999999999,0.0,increasing,0.07999999999999989
1998-2012,NoNord,SO4_µeq/l,682,39.763952050611124,35.28985567594127,21.702058973467928,23.266320777501097,0.0,decreasing,-0.5204993462528229
1998-2012,NoNord,NO3-N_µeq/l,682,1.0010525764558023,0.6428571428571428,1.0980324269088844,1.25,3.9968028886505635e-15,decreasing,-0.007936507936507933
1998-2012,NoNord,Cl_µeq/l,680,77.29919232339086,45.130172340845625,77.33630084916102,94.24852621780948,3.757307576179869e-09,decreasing,-0.1175264904709521
1998-2012,NoNord,Ca_µeq/l,680,78.96441646119527,60.62874251497006,72.85655073152334,66.38263473053891,3.503734369303402e-08,increasing,0.18145527127563035
1998-2012,NoNord,Mg_µeq/l,679,43.07652127036789,41.48805116814741,22.90017278772244,29.615004935834158,5.445961074546091e-06,increasing,0.0
1998-2012,NoNord,CaMg_µeq/l,680,122.01175829884566,102.4407256562886,89.89592038343862,83.18783476359226,1.3430700551708696e-08,increasing,0.38676841775481563
1998-2012,NoNord,H_µeq/l,681,0.7302236799982172,0.4570881896148752,0.9396028294356301,0.6286394766696806,6.790539242018667e-10,decreasing,-0.004534114357395046
1998-2012,NoNord,SAA_µeq/l,682,117.91950800091476,90.99771060438394,85.46769635688138,115.55960187694103,0.0,decreasing,-0.8225774964770839
1998-2012,NoNord,ANC_µeq/l,680,98.71456931496043,60.42282573139988,101.34807515425513,127.00217990130447,0.0,increasing,1.3595907732640904
1998-2012,NoNord,OrgAnions_µeq/l,675,51.28418074795218,31.716231042383622,44.52391588175836,61.798010366341344,0.0,increasing,0.2849072339768203
1998-2012,NoNord,HCO3_µeq/l,673,49.300675770046276,19.699527968783883,82.02106534861797,49.453638351906676,1.1324274851176597e-14,increasing,0.32196756314584907
