station_id;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
38113;198.3119296;191.6977187;185.0835078;178.4692969;171.8550861;176.1397635;180.424441;184.7091185;188.993796;193.2784735;190.636949;187.9954245;185.3539001;182.7123756;180.0708511;171.7302896;163.3897281;155.0491666;146.7086051;138.3680436;135.173996;131.9799484;128.7859009;125.5918533;122.3978057;119.2037581;116.0097106
38114;199.4885356;192.8350819;186.1816282;179.5281745;172.8747208;177.1848198;181.4949187;185.8050176;190.1151166;194.4252155;191.7680186;189.1108217;186.4536248;183.7964278;181.1392309;172.749184;164.359137;155.96909;147.5790431;139.1889961;135.9759979;132.7629997;129.5500015;126.3370033;123.1240051;119.9110069;116.6980087
38123;496.5368387;479.9760631;463.4152876;446.854512;430.2937364;441.021786;451.7498356;462.4778852;473.2059348;483.9339844;477.3200897;470.7061951;464.0923004;457.4784058;450.8645111;429.981269;409.0980268;388.2147847;367.3315425;346.4483003;338.4509888;330.4536773;322.4563657;314.4590542;306.4617426;298.4644311;290.4671195
38124;471.4364895;455.7128749;439.9892603;424.2656457;408.542031;418.7277688;428.9135066;439.0992444;449.2849821;459.4707199;453.1911631;446.9116064;440.6320496;434.3524928;428.072936;408.2453591;388.4177821;368.5902052;348.7626282;328.9350513;321.3420105;313.7489697;306.1559289;298.5628881;290.9698473;283.3768065;275.7837657
38125;459.0484118;443.7379713;428.4275308;413.1170903;397.8066498;407.7247339;417.642818;427.5609021;437.4789862;447.3970703;441.2825233;435.1679763;429.0534293;422.9388823;416.8243353;397.5177736;378.2112118;358.90465;339.5980883;320.2915265;312.8980103;305.5044941;298.1109779;290.7174617;283.3239455;275.9304293;268.5369131
38126;480.5323983;464.5054118;448.4784253;432.4514388;416.4244524;426.806714;437.1889757;447.5712374;457.9534991;468.3357608;461.9350461;455.5343313;449.1336166;442.7329019;436.3321871;416.1220564;395.9119256;375.7017949;355.4916641;335.2815333;327.5419922;319.8024511;312.0629099;304.3233688;296.5838276;288.8442865;281.1047453
38127;492.4862332;476.0605557;459.6348782;443.2092007;426.7835232;437.4240564;448.0645896;458.7051228;469.345656;479.9861893;473.4262489;466.8663085;460.3063681;453.7464277;447.1864873;426.4736047;405.7607221;385.0478394;364.3349568;343.6220742;335.6900024;327.7579306;319.8258589;311.8937871;303.9617154;296.0296436;288.0975718
38128;487.7886287;471.5196283;455.250628;438.9816276;422.7126273;433.2516652;443.7907032;454.3297412;464.8687791;475.4078171;468.910449;462.413081;455.9157129;449.4183448;442.9209768;422.405665;401.8903532;381.3750414;360.8597297;340.3444179;332.4880066;324.6315953;316.775184;308.9187727;301.0623614;293.2059501;285.3495388
38129;458.140258;442.8601068;427.5799555;412.2998043;397.019653;406.9181158;416.8165786;426.7150413;436.6135041;446.5119668;440.4095165;434.3070661;428.2046158;422.1021655;415.9997151;396.7313483;377.4629815;358.1946147;338.9262478;319.657881;312.2789917;304.9001024;297.5212131;290.1423238;282.7634344;275.3845451;268.0056558
38130;497.2308034;480.6468824;464.0629613;447.4790402;430.8951191;441.6381624;452.3812056;463.1242488;473.867292;484.6103352;477.9871969;471.3640586;464.7409203;458.117782;451.4946438;430.582215;409.6697862;388.7573574;367.8449286;346.9324999;338.9240112;330.9155225;322.9070339;314.8985452;306.8900565;298.8815679;290.8730792
38131;489.6621098;473.330624;456.9991383;440.6676525;424.3361668;434.9156827;445.4951986;456.0747145;466.6542305;477.2337464;470.7114235;464.1891005;457.6667776;451.1444547;444.6221318;424.0280255;403.4339193;382.839813;362.2457068;341.6516005;333.7650146;325.8784287;317.9918428;310.1052568;302.2186709;294.332085;286.4454991
38132;483.5824856;467.4537709;451.3250562;435.1963414;419.0676267;429.5157878;439.9639489;450.41211;460.8602711;471.3084322;464.8670902;458.4257482;451.9844061;445.5430641;439.101722;418.7633114;398.4249007;378.08649;357.7480793;337.4096686;329.6210022;321.8323358;314.0436694;306.255003;298.4663366;290.6776702;282.8890038
38133;501.1567191;484.4418587;467.7269983;451.0121379;434.2972775;445.125143;455.9530086;466.7808741;477.6087397;488.4366052;481.7611736;475.0857419;468.4103102;461.7348785;455.0594468;433.9819027;412.9043586;391.8268145;370.7492704;349.6717263;341.6000061;333.5282859;325.4565658;317.3848456;309.3131254;301.2414053;293.1696851
38134;366.7554567;354.5232227;342.2909887;330.0587547;317.8265207;325.7505465;333.6745723;341.5985981;349.5226239;357.4466497;352.5614493;347.676249;342.7910486;337.9058482;333.0206478;317.5957238;302.1707998;286.7458757;271.3209517;255.8960277;249.9889984;244.0819691;238.1749398;232.2679105;226.3608813;220.453852;214.5468227
