station_id,variable,median,mk_p_val,mk_trend,sen_slp,sen_incpt,sen_trend
38478,totn_mgNpm2,836.12634,0.0009883866103712613,decreasing,-11.521169090909087,23913.0280290909,decreasing
38479,totn_mgNpm2,942.24866,4.5112657471868545e-06,decreasing,-23.259324999999997,47530.67663499999,decreasing
38480,totn_mgNpm2,938.2492,2.1114275347233757e-05,decreasing,-21.77745,44558.481550000004,decreasing
38481,totn_mgNpm2,958.5368,6.702215939125011e-06,decreasing,-22.783833333333334,46594.55496666667,decreasing
38482,totn_mgNpm2,788.1614400000001,5.503278288854219e-06,decreasing,-18.187175000000003,37217.072965000014,decreasing
38483,totn_mgNpm2,958.5368,6.702215939125011e-06,decreasing,-22.783833333333334,46594.55496666667,decreasing
38484,totn_mgNpm2,986.6994,5.247956617959737e-05,decreasing,-22.80342307692308,46661.95582307693,decreasing
38485,totn_mgNpm2,1007.301,3.054267084956486e-05,decreasing,-22.509506666666667,46093.842853333335,decreasing
38486,totn_mgNpm2,983.9549,4.3888445724782343e-05,decreasing,-21.781161764705885,44611.62191470589,decreasing
38487,totn_mgNpm2,938.2492,2.1114275347233757e-05,decreasing,-21.77745,44558.481550000004,decreasing
38488,totn_mgNpm2,763.9083,0.0301527040254832,decreasing,-5.858053333333335,12497.58912666667,decreasing
38489,totn_mgNpm2,1153.3997,1.4929947922404097e-07,decreasing,-32.10572500000001,65461.16687500002,decreasing
38490,totn_mgNpm2,818.21,3.691890443802137e-06,decreasing,-21.604682352941175,44092.38875294117,decreasing
38491,totn_mgNpm2,1114.06,3.6445112261418444e-07,decreasing,-30.133159999999997,61470.77947999999,decreasing
38492,totn_mgNpm2,785.3232,1.1894144980040267e-07,decreasing,-24.79178333333333,50443.26521666666,decreasing
38493,totn_mgNpm2,529.8171,5.636930311414545e-07,decreasing,-13.170325714285715,26909.979505714287,decreasing
38494,totn_mgNpm2,1356.0986,5.503278288854219e-06,decreasing,-32.302049999999994,66057.10474999998,decreasing
38495,totn_mgNpm2,1304.1951,2.460188175845701e-06,decreasing,-29.14664090909091,59684.916840909085,decreasing
38496,totn_mgNpm2,1178.803,2.3106313529197564e-08,decreasing,-40.90447222222221,83110.46086111109,decreasing
38497,totn_mgNpm2,1085.9072,5.636930311414545e-07,decreasing,-25.220231578947367,51602.03105263157,decreasing
38498,totn_mgNpm2,1197.4,9.890896534470173e-06,decreasing,-28.034985714285718,57351.4763857143,decreasing
38499,totn_mgNpm2,1397.193,1.3215649592446255e-06,decreasing,-35.714554782608694,72933.44622956522,decreasing
38500,totn_mgNpm2,1312.6823,3.664285492921415e-05,decreasing,-27.130934736842104,55655.944577894734,decreasing
38501,totn_mgNpm2,1312.3370000000002,6.814189434933837e-09,decreasing,-38.26637272727274,77959.88157272729,decreasing
38502,totn_mgNpm2,553.58307,1.4499521886923716e-05,decreasing,-12.163767272727279,24917.60891727274,decreasing
38503,totn_mgNpm2,570.09247,1.4929947922404097e-07,decreasing,-15.499607499999996,31615.80629249999,decreasing
38504,totn_mgNpm2,572.9339,1.4929947922404097e-07,decreasing,-16.27465294117647,33171.06374117647,decreasing
38505,totn_mgNpm2,572.9339,1.4929947922404097e-07,decreasing,-16.27465294117647,33171.06374117647,decreasing
38506,totn_mgNpm2,572.9339,1.4929947922404097e-07,decreasing,-16.27465294117647,33171.06374117647,decreasing
38507,totn_mgNpm2,572.9339,1.4929947922404097e-07,decreasing,-16.27465294117647,33171.06374117647,decreasing
38508,totn_mgNpm2,498.8915,1.3215649592446255e-06,decreasing,-11.00163583333333,22535.16807416666,decreasing
38509,totn_mgNpm2,605.91833,4.131798903017625e-09,decreasing,-17.939674000000004,36539.08535200001,decreasing
38510,totn_mgNpm2,548.80164,4.5112657471868545e-06,decreasing,-10.181218421052629,20941.782137368416,decreasing
38511,totn_mgNpm2,549.55566,2.0032569409966783e-06,decreasing,-13.727433333333332,28045.604626666667,decreasing
38512,totn_mgNpm2,535.0606,5.636930311414545e-07,decreasing,-12.876791666666662,26327.274308333326,decreasing
38513,totn_mgNpm2,533.8774400000001,0.00012514022042697803,decreasing,-9.786101818181821,20135.43938181819,decreasing
38514,totn_mgNpm2,544.1151,0.013896203558318554,decreasing,-6.240975000000004,13044.788025000009,decreasing
38515,totn_mgNpm2,536.39185,3.691890443802137e-06,decreasing,-13.15404722222222,26883.948436111106,decreasing
38115,totn_mgNpm2,806.22463376,7.808931279384979e-11,decreasing,-13.432117859999988,27710.756707339977,decreasing
38116,totn_mgNpm2,792.2744359599999,7.808931279384979e-11,decreasing,-13.200847576000001,27233.572130688,decreasing
38117,totn_mgNpm2,889.80011624,1.3551715305482048e-10,decreasing,-14.838848010000003,30612.012680270007,decreasing
38118,totn_mgNpm2,879.7021171399999,1.3551715305482048e-10,decreasing,-14.668229758,30260.166322414003,decreasing
38119,totn_mgNpm2,850.8986273199998,7.808931279384979e-11,decreasing,-14.174830508999998,29243.084136846996,decreasing
38120,totn_mgNpm2,893.38551554,1.3551715305482048e-10,decreasing,-14.899044930000002,30736.172510330005,decreasing
38121,totn_mgNpm2,811.0258811199999,7.808931279384979e-11,decreasing,-13.507247816999996,27866.043258570993,decreasing
38122,totn_mgNpm2,811.9862396800002,7.808931279384979e-11,decreasing,-13.529086108999996,27910.745716006993,decreasing
38085,totn_mgNpm2,793.7399007999999,1.4929947922404097e-07,decreasing,-12.232558759999977,25295.555097079952,decreasing
