period,region,variable,n_vals,mean,median,std_dev,iqr,mk_p_val,mk_trend,sen_slp
1990-2020,AtlCan,NO3-N_µeq/l,1500,1.5327142857142646,1.4285714285714286,0.604463183568224,0.0,1.2415719052860652e-07,decreasing,0.0
1990-2020,AtlCan,Cl_µeq/l,1497,144.5124568753149,113.38955800637461,77.52531146644068,57.82303331170846,0.0002530095994097703,increasing,0.18132658529803994
1990-2020,AtlCan,Ca_µeq/l,1496,42.49912607939202,38.423153692614775,22.914686727756802,31.499500998003995,0.0001891259963668901,decreasing,-0.04678143712574778
1990-2020,AtlCan,Mg_µeq/l,1500,41.347839201491574,34.139519578808816,20.824540175705984,21.388614675880227,4.440892098500626e-16,decreasing,-0.10282987824942458
1990-2020,AtlCan,CaMg_µeq/l,1498,83.94304796291142,74.7340462214761,40.20896252854232,57.14638097940348,1.9206458645726343e-10,decreasing,-0.16375372228325702
1990-2020,AtlCan,H_µeq/l,1501,6.843299063467234,1.8854059216518744,9.634080081986289,10.104972568444623,0.0,decreasing,-0.03824001913778227
1990-2020,AtlCan,SAA_µeq/l,1498,187.57947381533182,154.98790676993895,91.77777203078438,76.26827517762715,0.0,decreasing,-0.7893455282935604
1990-2020,AtlCan,ANC_µeq/l,1497,51.78374541542217,45.15873483508621,35.01542118043462,43.6115022912109,0.0,increasing,0.770205281626412
1990-2020,AtlCan,OrgAnions_µeq/l,1500,79.29709860025928,70.59668931393814,42.5924262315793,53.69329376256652,0.0,increasing,0.5880627288480458
1990-2020,AtlCan,HCO3_µeq/l,1499,5.497860467004249,0.0,13.523111849790391,2.9584039961680144,0.00019402516226385558,increasing,0.0
1990-2020,UK-IE-NL,SO4_µeq/l,676,77.28988411799665,59.32131049243402,72.40258234694396,34.24104949324183,0.0,decreasing,-1.4100563880600854
1990-2020,UK-IE-NL,NO3-N_µeq/l,672,12.072663093235477,8.571428571428571,10.479360431154548,10.735438207402858,0.0,decreasing,-0.10714285714285715
1990-2020,UK-IE-NL,Cl_µeq/l,676,221.5836173193376,208.233435816433,95.83304003823079,102.95320565255409,0.0,decreasing,-1.6667393194062297
1990-2020,UK-IE-NL,Ca_µeq/l,676,63.32982246364931,46.656686626746506,41.528346310560266,42.97654690618762,0.0,decreasing,-0.44510338297763496
1990-2020,UK-IE-NL,Mg_µeq/l,675,62.71378068265257,53.47153668970056,31.37204499646666,24.84369858506087,0.0,decreasing,-0.38879042149032284
1990-2020,UK-IE-NL,CaMg_µeq/l,676,126.5220898393065,102.74789759080062,71.06141223882885,57.01467868803361,0.0,decreasing,-0.8226390259953895
1990-2020,UK-IE-NL,H_µeq/l,674,5.631813645805202,2.5148841205665002,7.797280029082673,6.168270477551715,0.0,decreasing,-0.07747429982187598
1990-2020,UK-IE-NL,SAA_µeq/l,672,318.2987713154906,283.09038362210504,152.20527626257666,142.0302092021916,0.0,decreasing,-3.602048819999555
1990-2020,UK-IE-NL,ANC_µeq/l,672,27.209177439627823,17.981543089057467,51.72652766526945,51.877635199521556,0.0,increasing,1.473133353487621
