period,station_id,variable,n_vals,first,last,mean,median,std_dev,iqr,mk_p_val,mk_trend,sen_slp,sen_incpt,sen_trend
1990-2020,38357,CaMg_µeq/l,31,203.4746118079734,166.54253191543862,157.89037780726167,150.48070785871496,27.40696455268469,31.028157665419428,2.4965491662198858e-05,decreasing,-2.199675998447333,4560.831084745617,decreasing
1990-2020,38357,H_µeq/l,31,3.4903734412281984,2.19488922819433,2.472569386260672,2.4547089156850284,0.7949593755517098,1.1943494391510332,3.781833670668533e-06,decreasing,-0.07242489925903617,147.66663193005255,decreasing
1990-2020,38357,SAA_µeq/l,31,270.9942819428961,208.80344970805086,195.44641490422032,181.86444590911307,48.67723289256094,63.91302463063465,2.4965491662198858e-05,decreasing,-4.203750235540256,8610.383668167327,decreasing
1990-2020,38357,ANC_µeq/l,31,39.11916336358705,102.79550848709836,81.06101076870404,86.89730065917047,18.879883099146138,33.934458589060505,4.4530492946393e-06,increasing,1.6825386775795792,-3286.5927478878857,increasing
1990-2020,38357,OrgAnions_µeq/l,31,92.25145015774214,148.48340025054992,124.60516196084166,123.77397124458327,22.921377167729716,32.391251923100256,1.945575674344724e-06,increasing,2.0034638842317896,-3893.1711166401547,increasing
1990-2020,38357,HCO3_µeq/l,31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,no trend,0.0,0.0,no trend
1990-2020,38358,SO4_µeq/l,31,134.41375117632853,37.47595293020312,62.94012417301048,59.96152468832499,25.51684700315694,39.84942994911599,9.37614554885613e-08,decreasing,-2.2500443168014814,4571.300379875295,decreasing
1990-2020,38358,NO3-N_µeq/l,31,1.3571428571428572,2.75,2.2926267281105996,2.107142857142857,1.3983231987879619,1.9999999999999998,0.11778885765162594,no trend,-0.04365079365079364,89.62698412698411,no trend
1990-2020,38358,Cl_µeq/l,31,91.5,95.90161622429693,88.51464819847813,90.26034468169124,11.271623029306195,13.946457281471226,0.011830274814312869,decreasing,-0.675,1443.6353446816913,decreasing
1990-2020,38358,Ca_µeq/l,31,113.99431137724552,89.82035928143713,97.8215488378083,98.99505988023952,13.936907583500073,20.248989520958105,9.174881356011078e-05,decreasing,-1.1666084497671296,2438.045001663334,decreasing
1990-2020,38358,Mg_µeq/l,31,70.979557420204,58.407370845672915,59.89927979280112,58.98301250411319,7.606212063852911,13.733958538993086,0.0013922649334909831,decreasing,-0.545297496185946,1152.304492356935,decreasing
