SiteID,Lat,Lon,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
23534,50.7220,13.7062,881.65,857.29,833.01,808.81,784.69,760.64,754.27,747.90,741.56,735.23,728.92,731.07,737.10,642.91,651.69,658.36,702.13,638.48,690.74,703.67,705.80,621.60,676.39,655.29,691.86,669.07,717.33,710.84
23535,50.3190,12.1368,1024.18,1001.86,979.58,957.32,935.09,912.89,907.92,902.94,897.98,893.02,888.06,898.00,895.86,776.64,774.79,831.89,826.78,804.59,800.74,815.96,843.12,758.71,811.14,814.31,783.49,807.82,818.18,891.53
23536,51.0012,8.2033,1083.88,1066.22,1048.58,1030.95,1013.34,995.75,989.65,983.55,977.46,971.38,965.30,887.50,911.69,848.19,904.60,914.34,891.43,931.52,795.70,910.39,837.24,779.54,845.91,817.77,862.13,816.08,787.73,888.46
23537,50.0053,11.9008,1015.25,998.14,981.02,963.88,946.74,929.58,925.67,921.75,917.83,913.91,909.99,865.57,908.17,788.86,797.89,803.56,833.56,826.58,822.22,801.62,865.89,833.39,842.88,824.66,830.14,832.33,845.94,909.13
23538,50.2056,8.4331,883.06,866.85,850.69,834.59,818.54,802.54,797.82,793.10,788.40,783.70,779.02,698.82,725.39,693.64,676.28,709.84,689.13,675.84,631.88,717.07,696.16,664.70,722.81,671.28,715.94,693.14,684.52,708.83
23515,48.4198,8.3588,870.64,851.23,831.90,812.66,793.49,774.41,770.36,766.32,762.29,758.28,754.27,762.46,755.03,738.42,742.87,764.97,771.31,786.97,711.65,728.68,712.30,723.43,688.30,709.13,710.88,741.76,698.35,683.02
23539,49.6564,8.8889,1216.80,1184.12,1151.46,1118.82,1086.20,1053.59,1047.24,1040.90,1034.56,1028.22,1021.89,937.56,963.38,835.58,919.27,936.94,904.42,878.85,885.09,869.33,906.63,840.38,882.91,870.18,909.24,898.67,862.30,925.45
23552,53.0000,-6.3500,467.60,471.08,474.55,478.03,481.50,484.97,487.14,489.31,491.47,493.64,495.80,542.05,527.80,493.65,468.40,473.80,482.30,416.95,479.05,446.90,413.65,445.95,485.30,448.45,512.25,424.85,488.80,498.85
23553,53.0000,-6.3833,465.30,468.75,472.20,475.64,479.08,482.52,484.59,486.66,488.73,490.80,492.87,533.55,520.47,490.82,461.60,467.33,478.43,418.52,477.75,441.50,405.48,441.98,481.23,441.42,502.08,424.68,488.33,498.75
23554,53.0000,-6.3500,467.60,471.08,474.55,478.03,481.50,484.97,487.14,489.31,491.47,493.64,495.80,542.05,527.80,493.65,468.40,473.80,482.30,416.95,479.05,446.90,413.65,445.95,485.30,448.45,512.25,424.85,488.80,498.85
23555,53.0000,-6.3500,467.60,471.08,474.55,478.03,481.50,484.97,487.14,489.31,491.47,493.64,495.80,542.05,527.80,493.65,468.40,473.80,482.30,416.95,479.05,446.90,413.65,445.95,485.30,448.45,512.25,424.85,488.80,498.85
23556,53.4774,-9.5410,267.43,269.82,272.19,274.54,276.86,279.17,279.29,279.41,279.53,279.63,279.73,233.83,266.66,299.87,220.42,251.04,251.19,225.12,276.98,246.37,203.91,229.18,261.61,265.08,268.17,226.68,278.78,235.33
23557,53.4667,-9.5333,266.59,268.94,271.27,273.58,275.86,278.13,278.23,278.32,278.41,278.49,278.57,233.72,266.82,301.31,219.68,251.17,252.47,225.44,276.33,247.30,204.54,230.52,262.79,265.91,268.10,227.23,279.17,235.96
23558,53.4833,-9.5333,269.56,271.99,274.39,276.78,279.14,281.48,281.62,281.74,281.86,281.98,282.08,236.29,268.84,302.29,223.37,253.67,253.47,227.24,280.27,247.75,206.06,230.69,263.68,267.61,271.00,229.18,281.17,237.49
23559,55.0475,-7.9536,308.33,310.62,312.90,315.18,317.44,319.69,321.41,323.12,324.82,326.52,328.21,269.13,286.54,355.05,255.21,278.87,292.80,230.52,281.19,286.81,237.36,282.23,260.72,283.56,336.57,268.35,298.96,251.09
23560,55.1333,-7.7000,348.27,353.16,358.06,362.98,367.91,372.86,378.28,383.72,389.18,394.65,400.14,348.64,382.20,427.17,326.84,350.10,384.37,294.24,345.07,382.34,318.17,359.37,318.87,346.27,405.00,346.84,378.17,343.24
23561,55.1333,-7.7000,348.27,353.16,358.06,362.98,367.91,372.86,378.28,383.72,389.18,394.65,400.14,348.64,382.20,427.17,326.84,350.10,384.37,294.24,345.07,382.34,318.17,359.37,318.87,346.27,405.00,346.84,378.17,343.24
38553,54.9557,-8.1040,290.51,292.57,294.61,296.64,298.64,300.63,301.67,302.69,303.70,304.69,305.67,235.09,245.09,317.92,219.02,243.17,253.97,202.88,259.27,236.53,198.22,242.48,231.36,253.56,311.67,230.05,269.24,214.79
38554,53.4377,-9.4543,268.40,270.58,272.74,274.88,276.99,279.08,278.97,278.87,278.75,278.63,278.50,234.78,266.63,311.35,219.01,256.42,257.42,227.93,276.58,250.95,206.45,235.82,272.49,272.50,273.78,229.62,281.62,237.95
38555,52.2060,-10.0523,218.27,220.13,221.95,223.73,225.47,227.18,226.86,226.53,226.18,225.82,225.44,194.99,180.67,233.43,154.17,199.38,177.73,183.15,203.18,200.56,186.26,181.55,242.45,198.58,209.98,170.93,213.23,185.03
38556,53.0693,-6.2792,459.57,462.32,465.07,467.82,470.56,473.31,475.20,477.08,478.97,480.86,482.74,556.25,517.87,495.77,476.70,488.86,480.66,411.87,470.76,455.35,438.52,444.01,478.07,459.05,518.78,410.77,490.32,483.69
38557,52.7928,-9.3049,439.50,445.35,451.19,457.03,462.87,468.70,470.28,471.85,473.43,475.00,476.57,398.62,428.05,474.76,381.47,425.60,414.07,394.63,416.34,413.83,359.59,392.48,434.88,398.39,447.30,387.66,456.63,420.13
38558,54.1534,-8.8518,372.48,377.15,381.81,386.46,391.10,395.72,397.34,398.95,400.55,402.15,403.75,338.37,362.26,401.70,338.84,355.47,365.79,308.08,387.89,383.54,299.08,339.59,342.58,353.32,391.41,334.23,398.73,360.27
38559,53.4433,-10.0059,201.02,202.88,204.73,206.57,208.38,210.19,210.60,211.01,211.42,211.81,212.20,162.42,181.90,214.50,145.00,170.64,165.35,172.25,181.21,176.96,143.58,166.92,179.27,183.14,175.96,160.59,221.25,169.82
38560,53.6634,-9.7866,237.18,239.15,241.09,243.01,244.91,246.78,246.74,246.70,246.64,246.58,246.51,199.73,207.62,242.46,180.19,201.97,195.46,195.98,224.73,206.42,165.20,182.63,202.89,215.54,225.14,182.86,238.04,185.15
38561,53.4368,-9.5476,259.87,262.08,264.27,266.44,268.58,270.71,270.77,270.82,270.87,270.91,270.94,227.33,262.23,296.49,211.13,244.36,248.23,220.38,266.73,245.05,200.19,228.35,258.74,260.36,260.49,221.68,273.36,231.39
38562,52.7841,-9.2206,453.60,459.48,465.36,471.23,477.09,482.95,484.45,485.94,487.43,488.92,490.41,415.67,444.79,476.26,391.83,439.51,432.17,403.63,430.14,427.56,370.27,406.47,448.60,410.52,464.99,405.01,467.92,435.16
38563,51.9809,-9.5882,310.69,312.79,314.84,316.85,318.81,320.73,319.88,319.01,318.14,317.25,316.35,283.64,284.86,328.51,258.26,306.93,267.63,262.73,301.21,270.67,271.97,247.10,325.53,274.33,305.12,255.02,303.60,261.48
23562,46.1690,8.1877,600.49,598.35,596.19,594.00,591.80,589.57,592.82,596.07,599.33,602.61,605.89,564.83,458.54,598.28,501.41,521.49,403.89,375.27,400.01,406.97,379.79,394.02,493.81,400.79,356.20,422.25,424.52,423.96
23563,45.9535,8.4578,1287.08,1284.09,1281.04,1277.94,1274.79,1271.58,1284.17,1296.82,1309.52,1322.29,1335.11,1283.70,998.24,1167.41,1040.84,1013.06,879.12,847.12,938.27,833.24,857.95,929.25,1078.36,934.03,727.67,998.29,950.52,941.34
23564,46.1732,8.1877,587.66,585.56,583.43,581.28,579.11,576.92,580.04,583.18,586.32,589.47,592.62,553.84,449.62,588.25,491.54,511.31,396.61,368.14,391.58,398.68,373.30,387.60,484.48,392.98,350.30,413.87,415.94,416.09
23565,46.0680,8.6927,1353.22,1352.71,1352.14,1351.50,1350.80,1350.03,1365.43,1380.91,1396.48,1412.13,1427.87,1390.99,1077.46,1132.51,1138.27,1047.69,937.46,912.62,980.58,846.61,911.28,1004.09,1151.66,967.06,707.90,1003.57,913.67,965.38
23566,45.8015,8.3865,1420.10,1412.51,1404.88,1397.19,1389.46,1381.67,1393.18,1404.73,1416.31,1427.93,1439.59,1407.81,1294.43,1433.52,1219.44,1210.81,1083.85,1010.77,1161.31,1029.74,1072.30,1151.04,1303.13,1154.59,973.49,1232.34,1200.21,1091.30
23567,45.7917,8.3847,1436.12,1428.29,1420.40,1412.47,1404.49,1396.46,1408.02,1419.63,1431.27,1442.95,1454.67,1427.08,1323.86,1446.87,1239.97,1222.51,1101.94,1025.17,1183.87,1047.53,1092.79,1170.99,1318.85,1174.05,996.24,1248.12,1222.14,1107.32
38547,45.9382,8.2095,1322.39,1317.15,1311.83,1306.42,1300.93,1295.35,1305.81,1316.31,1326.85,1337.44,1348.07,1113.08,997.83,1207.76,1054.63,1081.63,827.35,802.25,879.68,829.23,757.70,831.93,1057.65,839.28,723.19,981.63,927.77,906.54
38548,46.0013,8.0782,805.60,800.83,796.02,791.16,786.26,781.32,785.02,788.73,792.44,796.16,799.90,675.01,592.03,758.79,615.39,686.80,483.12,472.39,481.97,509.87,431.80,476.27,607.60,502.27,404.88,552.08,539.27,553.57
38549,46.1757,8.4410,764.40,762.84,761.25,759.64,758.00,756.33,761.98,767.65,773.34,779.06,784.79,788.93,544.16,721.08,632.77,635.58,480.24,509.69,502.93,485.88,521.64,558.62,653.64,518.20,410.90,559.19,504.79,601.67
38550,46.1757,8.2169,599.10,597.06,595.00,592.92,590.82,588.69,592.01,595.33,598.67,602.01,605.36,572.14,455.35,591.41,500.88,520.07,402.39,375.92,401.20,405.07,384.80,401.22,497.61,399.66,356.87,426.86,424.24,431.17
38551,46.2486,8.4410,618.48,617.15,615.80,614.43,613.03,611.61,615.24,618.88,622.53,626.19,629.86,635.91,436.64,599.24,498.80,530.94,391.27,415.52,401.53,394.78,431.00,456.45,540.16,432.33,334.59,450.88,410.64,503.53
38552,46.1807,8.4895,844.62,843.39,842.13,840.83,839.50,838.13,844.88,851.65,858.45,865.28,872.13,864.41,592.46,799.46,696.55,687.86,526.50,566.82,554.93,526.82,575.15,605.82,719.59,568.21,442.50,606.67,537.23,664.27
23568,57.7172,25.2961,502.08,464.85,427.64,390.44,353.26,316.09,307.98,299.87,291.77,283.67,275.57,309.00,243.31,262.14,279.26,263.72,289.30,289.94,323.44,272.74,297.70,271.14,308.63,263.79,267.00,286.97,250.24,249.04
23569,56.3644,21.2186,801.29,746.98,692.54,637.97,583.27,528.45,517.12,505.76,494.38,482.97,471.53,487.27,434.92,420.83,449.06,420.89,461.75,461.81,483.14,413.64,490.48,516.30,446.73,415.94,434.08,429.48,347.87,371.54
23570,56.9714,24.4874,672.86,622.62,572.32,521.95,471.51,421.01,411.12,401.22,391.31,381.38,371.44,381.55,349.41,366.54,379.20,334.92,403.15,385.62,410.23,374.41,380.82,382.62,406.12,338.34,371.30,371.77,336.19,384.00
