station_id,NH4-N_µg/l N,NO3-N_µg/l N,TOC_mg C/l,TOTN_µg/l N,TOTP_µg/l P,TON_µg/l N,TOTN/TOTP,NO3/TOTP,TOC/TON,TOC/TOTP
38246,4.0,10.0,3.7,145.0,2.0,132.5,79.16666666666667,5.666666666666667,29.6,1600.0
38247,9.0,76.0,1.1,180.0,2.0,86.0,95.0,40.0,11.627906976744185,550.0
38248,10.0,17.0,2.2,117.0,2.0,105.0,69.0,9.0,19.642857142857142,1700.0
38249,19.0,66.0,7.3,375.0,8.0,300.0,49.375,8.75,22.448979591836736,925.0
38250,11.0,16.0,1.3,132.0,3.0,114.0,66.0,8.0,11.403508771929825,533.3333333333334
38251,8.0,88.0,2.9,240.0,2.0,152.0,100.0,29.333333333333332,20.0,1450.0
38252,5.0,6.0,0.96,101.0,1.0,95.0,68.0,4.0,7.916666666666667,570.0
38253,5.0,2.0,1.1,93.0,2.0,91.0,51.0,0.6666666666666666,10.882352941176471,465.0
38254,6.0,3.0,1.1,111.0,2.0,108.0,58.5,1.5,8.608695652173912,495.0
38255,4.0,3.0,1.6,99.0,2.0,94.0,55.0,2.0,16.49484536082474,850.0
38256,6.0,12.0,1.6,102.0,3.0,86.0,43.666666666666664,5.0,15.116279069767442,533.3333333333334
38257,2.0,18.0,0.38,59.0,1.0,43.0,54.0,13.0,8.72340425531915,180.0
38258,7.0,21.0,1.1,102.0,2.0,80.0,69.5,13.5,15.853658536585366,650.0
38259,10.0,27.0,1.1,97.0,2.0,70.0,56.5,14.0,15.714285714285714,500.0
38260,3.0,44.0,0.28,75.0,1.0,37.0,73.0,34.0,8.0,155.0
38261,26.0,205.0,3.1,430.0,2.0,220.0,215.0,100.0,14.285714285714286,1550.0
38262,4.0,48.0,0.34,109.0,1.0,61.0,76.0,34.0,4.512195121951219,340.0
38263,5.5,56.0,0.35,117.5,1.5,64.5,98.5,41.5,4.493939393939394,280.0
38264,4.0,2.0,0.79,57.0,2.0,56.0,29.0,1.0,13.928571428571429,395.0
38265,5.0,37.0,3.4,210.0,3.0,183.0,65.0,12.333333333333334,18.181818181818183,933.3333333333334
38266,11.0,59.0,0.97,155.0,2.0,103.0,87.5,42.0,10.714285714285714,480.0
38267,3.0,31.0,0.38,86.0,1.0,46.0,76.0,26.0,7.368421052631579,210.0
38268,4.0,57.0,0.84,137.0,1.0,77.0,126.0,57.0,11.911764705882353,810.0
38269,26.0,120.0,1.5,265.0,2.0,125.0,132.5,65.0,11.2,800.0
38270,5.0,16.0,1.7,115.0,2.0,99.0,64.5,9.5,17.171717171717173,850.0
38271,13.0,24.0,7.0,275.0,5.0,261.0,55.0,4.833333333333333,24.904214559386972,1300.0
38272,4.0,9.0,1.9,101.0,2.0,91.0,55.5,8.0,20.87912087912088,950.0
38273,25.0,280.0,1.3,425.0,2.0,140.0,212.5,135.0,8.571428571428571,800.0
38274,4.0,2.0,1.9,106.0,2.0,104.0,53.0,1.0,17.272727272727273,950.0
38275,20.0,175.0,1.1,297.5,3.0,140.0,126.66666666666667,80.0,7.799539170506913,366.6666666666667
38276,6.0,7.0,3.0,127.0,2.0,122.0,60.5,3.0,25.874125874125873,1233.3333333333333
38277,3.0,41.0,0.45,90.0,1.0,43.0,89.0,40.0,9.183673469387756,450.0
38278,3.0,20.0,0.39,74.0,1.0,52.0,59.0,13.0,7.5,175.0
38279,5.0,22.5,0.595,76.0,2.5,53.0,38.08333333333333,9.5,12.02127659574468,253.33333333333331
38280,3.0,3.0,4.7,155.0,3.0,151.0,49.333333333333336,1.0,31.125827814569536,1566.6666666666667
38281,5.0,19.0,2.9,147.0,2.0,132.0,71.0,5.0,21.96969696969697,1250.0
38282,7.0,9.0,1.5,110.0,2.0,98.0,64.0,5.5,15.068493150684931,800.0
38283,4.0,2.0,0.97,54.0,2.0,52.0,26.5,1.0,17.5,485.0
38284,9.0,13.0,13.0,305.0,7.0,295.0,43.57142857142857,1.875,45.267489711934154,1833.3333333333333
38285,23.0,140.0,6.4,425.0,4.0,270.0,122.5,38.75,22.745098039215687,1875.0
38286,6.0,95.0,0.83,185.0,1.0,75.0,185.0,95.0,11.733333333333333,830.0
38287,3.0,8.0,2.4,107.0,1.0,97.0,105.0,8.0,26.136363636363637,2300.0
38288,10.0,31.0,9.4,360.0,8.0,331.0,51.25,6.25,27.77777777777778,1250.0
38289,7.0,4.0,0.71,58.0,2.0,54.0,42.0,2.0,12.777777777777779,325.0
38290,5.0,84.0,1.8,212.5,2.0,145.0,95.0,42.0,12.962962962962964,830.0
38291,10.0,21.0,3.2,149.0,1.0,128.0,149.0,20.0,26.5625,3200.0
38292,41.0,130.0,7.1,440.0,4.0,310.0,108.75,32.5,22.903225806451612,1500.0
38293,16.0,24.0,5.3,285.0,4.0,254.0,72.5,7.25,21.54471544715447,1550.0
38294,5.0,2.0,2.1,128.0,3.0,125.0,48.333333333333336,0.6666666666666666,15.702479338842975,700.0
38295,6.0,2.0,2.2,134.0,3.0,132.0,49.0,0.6666666666666666,17.6,866.6666666666666
38296,10.0,20.0,2.8,175.0,3.0,161.0,71.66666666666667,7.0,17.582417582417584,1066.6666666666667
38297,43.0,38.0,20.4,555.0,14.0,520.0,39.642857142857146,3.3333333333333335,42.034548944337814,1216.6666666666667
38298,27.0,65.0,7.4,415.0,11.0,326.0,35.45454545454545,6.7272727272727275,20.555555555555557,641.6666666666666
38299,15.0,41.0,8.0,390.0,4.0,347.0,98.75,12.0,26.512968299711815,2325.0
38300,29.0,41.0,8.8,330.0,7.0,292.0,46.42857142857143,7.6,30.625,1257.142857142857
38301,27.0,61.0,6.0,315.0,3.0,251.0,105.0,21.333333333333332,23.04964539007092,2000.0
38302,5.0,5.0,6.8,245.0,7.0,236.0,34.285714285714285,0.8333333333333334,29.05982905982906,975.0
38303,48.0,100.0,5.2,360.0,3.0,267.0,126.66666666666667,36.666666666666664,20.481927710843372,1866.6666666666667
38304,12.0,29.0,11.9,320.0,7.0,290.0,45.714285714285715,4.285714285714286,42.331288343558285,1833.3333333333333
38305,21.0,37.0,10.9,335.0,6.0,300.0,61.666666666666664,6.166666666666667,40.46692607003891,2060.0
38306,27.0,67.0,8.1,430.0,17.0,400.0,26.333333333333332,4.62962962962963,20.149253731343283,440.0
38307,5.0,9.0,3.2,143.0,3.0,136.0,51.666666666666664,3.0,23.972602739726028,1166.6666666666667
38308,6.0,2.0,2.4,160.0,4.0,159.0,40.0,0.4,15.172413793103448,660.0
38309,4.0,7.0,3.6,155.0,3.0,152.0,56.666666666666664,2.0,23.026315789473685,1466.6666666666667
38310,14.0,220.0,2.0,390.0,5.0,170.0,78.0,44.0,11.666666666666666,380.0
38311,8.0,6.0,10.8,285.0,5.0,282.0,59.0,1.2,40.87301587301587,2160.0
38312,8.0,76.0,5.949999999999999,295.0,3.0,199.0,98.33333333333334,26.166666666666664,29.893526000570397,2066.6666666666665
38313,4.0,148.5,1.45,235.0,2.0,102.5,132.5,76.25,15.81818181818182,945.0
38314,9.0,13.5,6.25,282.5,3.0,247.5,81.25,4.166666666666667,24.586576140940696,1941.6666666666665
38315,2.0,14.5,0.9299999999999999,67.0,1.0,49.5,46.0,10.0,19.642857142857142,750.0
38316,5.0,9.0,3.25,134.0,2.0,123.5,60.0,3.0,27.68168098444393,1566.6666666666667
38317,4.5,48.5,0.39,105.0,1.5,53.0,76.5,31.5,6.1875,350.0
38335,8.0,7.0,1.2,97.0,3.1,81.0,27.666666666666668,2.3333333333333335,20.0,416.6666666666667
38336,5.5,13.5,7.4,288.5,4.0,265.0,72.5,3.375,27.44093186500165,1897.4358974358975
38337,39.0,57.5,16.0,608.0,10.6,574.0,59.33461538461538,3.511904761904762,28.480072023664917,1510.7386591730228
38338,7.0,55.5,3.95,196.0,4.1,137.5,52.11489088575097,12.841463414634147,29.017857142857142,987.8048780487807
38339,6.5,30.0,7.85,238.5,4.75,215.0,51.22628726287263,6.611111111111111,33.92551036309802,1530.0361336946703
38340,13.0,76.5,8.7,516.0,19.5,380.0,22.583333333333332,4.462063086104007,21.682848887038716,433.9473684210526
38341,12.5,28.5,7.45,308.0,6.0,281.0,51.121144762434014,4.6307506053268765,27.66845557543232,1267.6820728291318
38342,12.5,69.5,9.9,450.0,16.1,374.0,27.19426406926407,4.34375,27.93540185507792,569.1784465724274
38343,28.0,65.0,21.5,786.5,13.25,725.0,62.52365496754318,5.146853146853147,29.76568886190065,1655.681818181818
38344,8.0,6.5,11.15,360.0,9.0,348.5,40.83333333333333,0.7360029662588061,30.73515844175406,1273.6373748609567
38345,8.5,49.5,7.15,339.0,10.6,275.0,29.259559154296,4.104395604395604,25.474001042802293,661.6734143049932
38346,130.5,84.5,10.8,705.0,12.45,541.0,51.276515151515156,5.551346801346801,18.995290423861853,804.3414918414919
38347,9.5,33.0,8.149999999999999,352.5,5.4,319.0,62.55805515239477,6.32801161103048,25.940923816110363,1393.743793445879
38348,11.5,39.0,16.45,783.0,36.55,701.0,21.17914438502674,1.1708333333333334,21.88982572760763,423.86515616395246
38349,22.5,28.0,11.5,463.0,11.95,419.0,39.93156618156618,2.842245989304813,28.12819638595295,1012.6472626472626
38350,20.0,46.5,30.5,1246.5,35.0,1031.0,37.6474358974359,1.390588578088578,30.277550654674563,1115.934065934066
38351,9.5,43.0,10.55,449.5,8.5,412.0,53.483245149911816,4.841666666666667,26.64648426343748,1215.6084656084656
38352,23.0,79.5,11.2,476.5,9.35,378.0,45.842741475652865,8.233333333333334,28.659099087310672,1091.068917018284
38353,114.0,164.0,14.8,965.0,27.95,794.5,30.84011905068673,6.443811683459169,19.517313746065057,508.0526709098874
38354,15.0,12.5,13.649999999999999,382.0,10.0,370.5,37.81481481481481,1.3685068716515256,37.88659793814433,1436.8157465641743
38355,22.0,22.0,16.2,531.0,16.55,520.0,31.174908424908423,1.2849816849816849,29.664850439230513,921.1904761904761
38356,7.5,39.5,9.7,355.5,7.0,300.0,51.19145199063232,6.036946315574608,33.253877942145294,1560.4166666666665
38357,23.5,31.5,12.45,406.0,7.0,369.0,56.5,3.5428571428571427,31.28332780174798,1706.2908496732025
38358,20.5,17.0,16.4,618.0,23.15,594.0,27.035937262067918,1.0304311073541843,31.26210245648185,740.606441297396
38359,46.5,36.5,9.9,456.5,8.0,395.5,51.23287671232877,5.421052631578947,25.146817007282124,1175.0
38360,17.5,16.0,13.75,538.0,15.5,514.5,35.67377398720682,0.9583333333333333,26.800507893917253,844.0972222222222
38361,18.5,21.0,7.55,365.5,11.45,339.5,38.0642256902761,1.4444444444444444,22.618956985154167,690.3612796469938
38362,12.5,29.5,10.8,394.0,8.0,349.5,53.6875,4.065656565656566,29.670481380563125,1408.9285714285716
38363,7.5,51.5,9.5,288.5,4.5,243.0,64.95,9.9,39.31131019036954,2173.0317273795536
38364,39.5,85.0,4.3,328.0,4.0,233.5,84.15601023017904,19.130434782608695,17.886983057981688,1104.1666666666665
38365,8.5,8.5,5.449999999999999,285.0,6.0,273.0,49.33333333333333,1.325,20.373869231650062,901.984126984127
38366,7.0,3.0,6.35,238.5,8.100000000000001,216.5,29.318181818181817,0.2775655716832187,28.13802641318322,798.4900373599003
38367,50.0,40.5,31.450000000000003,998.0,34.2,931.5,29.043761356753482,0.8065347351061637,31.97586382602342,891.0414142943671
38368,29.0,30.5,3.2,254.5,3.6,218.5,65.52982731554161,7.770034843205575,14.021675037107826,883.3333333333333
38369,14.0,20.0,7.4,292.0,5.7,268.0,50.97435897435898,3.2083333333333335,28.558385274639654,1330.188679245283
38370,9.0,40.5,7.050000000000001,268.5,4.5,240.5,60.0,8.770152955766847,28.884254431699688,1520.0
38371,21.0,16.5,13.45,393.5,10.15,381.5,40.73863636363636,1.860921112631099,35.81121804218917,1173.611111111111
38372,17.0,29.0,18.05,632.5,17.85,619.0,38.169082125603865,1.5879294043491963,31.006867249641815,1151.78064922786
